category,year,sales,emp,Export,gdp,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share
small,1987,1.0613543198670862e9,33352.0,6.3969894460678264e7,2.874219107960011e8,1298,38,474,8617.831338330567,31822.808823071664,0.06027194996359862
small,1988,8.488015906890833e8,30033.0,7.032270787396243e7,2.106687828995815e8,1059,37,68,7014.576728917574,28262.29782869122,0.08284940632223874
small,1989,1.5549751487486272e9,29529.0,2.6317822070172417e8,4.077193682577734e8,1029,64,104,13807.422136129682,52659.2552659632,0.1692491490385026
small,1990,4.939292914644394e9,127605.0,3.707840181729701e8,9.003325357838799e8,5510,501,2321,7055.62114167846,38707.675362598595,0.07506823842611991
small,1991,5.344617834517027e9,187088.0,4.0014161994219387e8,9.778871224366184e8,8346,897,2114,5226.883190993642,28567.400552237592,0.07486814442708478
small,1992,6.920850723957438e9,249139.0,6.596635502606463e8,1.7758386891213264e9,11653,1525,3463,7127.903255296547,27779.074026777977,0.0953153848524913
small,1993,8.372353708679721e9,286665.0,7.475091126177602e8,2.203390381157669e9,13654,1640,1681,7686.290203400028,29206.054832922473,0.08928303063006146
small,1994,1.0207212236601734e10,316896.0,7.555998098083527e8,2.4986201888578076e9,15366,1804,1183,7884.669383197666,32209.97499684986,0.07402607022305956
small,1995,1.059196718332077e10,323147.0,9.598005413441211e8,2.4601438403953037e9,15823,1995,920,7613.079621334265,32777.55072249091,0.09061589077197335
small,1996,1.1383996519924543e10,336658.0,1.0524637579276059e9,2.4813701053254843e9,16585,2173,1002,7370.595991556666,33814.72152726073,0.09245116652008445
small,1997,1.2236323795453764e10,362423.0,1.0544246419237974e9,2.652625117832959e9,18072,2314,1026,7319.141218501472,33762.54761826309,0.0861716851850189
small,1998,1.435117045413818e10,394833.0,1.4009174481008098e9,2.936353559520487e9,19760,2547,789,7436.950709592376,36347.4442463983,0.09761694717359122
small,1999,1.498496838962672e10,413068.0,1.2645616457638247e9,3.163833749917634e9,20758,2592,654,7659.353302404529,36277.243431170464,0.08438867623098972
small,2000,1.7504792697261253e10,434680.0,1.7845762535967817e9,3.524619374679725e9,21809,2669,806,8108.538176773086,40270.52704808423,0.10194786561945353
small,2001,1.8445321075458706e10,447195.0,1.8873284025001583e9,2.785992036446466e9,22455,2729,721,6229.926623612666,41246.70686268564,0.10232017077822667
small,2002,1.9674633538537003e10,456498.0,2.099579057330978e9,3.0931314057569294e9,23083,2755,662,6775.7830390427325,43099.057473498244,0.10671502740920183
small,2003,2.22368793876475e10,465058.0,3.4371859482247725e9,3.3631289773953586e9,23612,2692,622,7231.633425068182,47815.281938268985,0.1545714166230589
small,2004,2.390247178774523e10,481060.0,2.7687923737055874e9,3.6659403629961014e9,24373,2706,638,7620.547048177154,49687.09056613568,0.11583707318191017
small,2005,2.4832233749758636e10,495950.0,2.8121046562889204e9,3.629678789410061e9,25160,2857,618,7318.638551083902,50070.03478124536,0.11324412795994454
small,2006,2.463817353260074e10,513085.0,2.9634618692024813e9,3.765984537239162e9,26119,3077,597,7339.884302287461,48019.672242612316,0.12027928390395042
small,2007,2.440235123099556e10,513618.0,3.3506110668360415e9,3.883599166691828e9,26243,3404,548,7561.259859841025,47510.701009301774,0.13730689453318487
